scenario,count,mean,std,min,max,median
base,78,0.37622447085347116,0.1426007241984942,0.0426039536468986,0.7864838393731635,0.3654110401927029
bottleneck,31,0.5459262020050215,0.2182434265927626,0.1557480819389585,0.9171822941456448,0.5451880178457617
continuous_migration,25,0.38298659094387083,0.12825536030784473,0.103638352977023,0.5684926751371234,0.4058677952727665
rapid_radiation,66,0.31956310408750555,0.162131957558159,0.0046792522416613,0.7091046467699285,0.2915294234791521
