rep,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
0,recent,none,0.07669338544296739,883.7859999999995,757.8809999999996,0.44540064241581395,0.4451939576543217
1,recent,none,-0.09738287154069399,681.5425000000001,828.6050000000004,0.4404440811283137,0.4427723183252987
2,recent,none,-0.040130038691500315,740.6514999999995,802.5814999999996,0.4384084694250913,0.4479221302522353
3,recent,none,0.06372230243389453,857.9414999999985,755.1515000000004,0.44456068527813186,0.4390001875437929
4,recent,none,-0.009183902946020683,815.08,830.1899999999995,0.44818483867074604,0.4478621709276276
5,recent,none,-0.042963308530852014,732.3684999999999,798.1235000000007,0.43646207592788,0.43954110062913115
6,recent,none,-0.04024595426232536,729.1585000000001,790.3109999999984,0.43713805444950377,0.44534962401470213
7,recent,none,-0.02908215010141944,861.5925000000003,913.2074999999995,0.4523028530045921,0.4578449599398814
8,recent,none,-0.04916961432554405,758.3787499999995,836.8137499999999,0.44533228042613526,0.44230613251993556
9,recent,none,0.013937362805475095,854.9894999999999,831.4844999999991,0.4459805818028556,0.4437149585513714
10,recent,none,0.021071845789766085,805.653,772.4004999999994,0.43625430647485425,0.4307522189179998
11,recent,none,-0.042144479388720874,796.8969999999991,867.0220000000002,0.44389640175103345,0.4370450333642531
12,recent,none,-0.03892832329694241,790.2087499999997,854.2237499999989,0.4458196861628049,0.44771214933980513
13,recent,none,0.033782585434851936,881.6162500000004,823.996249999999,0.44088173808274245,0.4407275258154742
14,recent,none,-0.058741629147591824,777.4500000000004,874.4875000000004,0.44945024961858343,0.4526982179488931
15,recent,none,0.03466617482895864,802.2010000000001,748.4459999999999,0.43591680209464195,0.43766720438038914
16,recent,none,0.10561553778625093,865.349250000001,700.0217499999995,0.4405894920255652,0.4446386083319658
17,recent,none,0.0027851023763596286,801.5684999999995,797.1160000000002,0.4425824380630296,0.44077582653036756
18,recent,none,0.05358956235087882,853.3574999999996,766.5474999999993,0.45238546122520634,0.44324371139278
19,recent,none,0.024236467944837213,783.71425,746.6242499999997,0.44318360050382727,0.4394593575243299
20,recent,none,-0.011074552554111872,793.4047499999996,811.1747500000001,0.4449620284626593,0.4422981620699006
21,recent,none,-0.04597024293104518,787.3764999999999,863.2564999999997,0.45433777448512236,0.4501236032244697
22,recent,none,0.05988886797496527,837.6050000000006,742.9474999999993,0.4368647029350234,0.4404983709827091
23,recent,none,0.04563115343920698,840.2590000000001,766.9214999999988,0.44643705980749554,0.43838103361029757
24,recent,none,-0.044292866422119034,792.6849999999996,866.1599999999996,0.4481940957268976,0.44461057228622697
25,recent,none,0.03916417213845871,819.3557500000004,757.5957499999997,0.44206685640516924,0.440341987725371
26,recent,none,-0.0009924774718894735,775.0662499999994,776.6062499999998,0.44258808385389503,0.4438498017894025
27,recent,none,-0.02657925878618279,777.3299999999997,819.7800000000001,0.43696132499769835,0.4376909848297401
28,recent,none,0.0601917524421599,796.5297500000005,706.0847500000006,0.43613054363991205,0.439872672038938
29,recent,none,0.042500036256516605,880.5745000000003,808.7769999999996,0.44668507841461375,0.44364026142722496
0,recent,low,0.01686174687881825,827.9237499999991,800.4662500000003,0.4438749042399699,0.4460088359241936
1,recent,low,0.018386073152803974,844.1282499999996,813.6482500000003,0.4484044617901082,0.45263255904450883
