Ne,divergence,rep,D,ABBA,BABA,FST_AB,FST_BC
small,recent,0,-0.04837067209775992,10.279499999999997,11.324500000000002,0.21075241908217046,0.3340176814784514
small,recent,1,0.0777748484049564,6.132,5.247000000000001,0.2294833815705033,0.34042826337451226
small,recent,2,-0.26670574443141853,6.56775,11.34525,0.24069290796503967,0.3543313180073632
small,recent,3,0.26774126020514977,7.57,4.3725,0.2250617809433849,0.34713159703515456
small,recent,4,-0.0947661814803342,7.307500000000003,8.837499999999999,0.22019349174336703,0.32484090668601684
small,recent,5,0.3399815327793167,9.07,4.4675,0.2123338034416384,0.3509371753716829
small,recent,6,0.20885043613928087,12.7845,8.367,0.2076898453389049,0.329876939571404
small,recent,7,-0.4506945128558763,6.969999999999999,18.4075,0.23892761242248203,0.3726192221264175
small,recent,8,-0.3385924849491385,3.9825,8.06,0.18675740846742542,0.3230181187062128
small,recent,9,0.22366226100346454,11.92,7.562500000000002,0.20687232556957416,0.34236427577374823
small,recent,10,-0.024939764129010434,11.5335,12.1235,0.2437514271216942,0.3414626156396644
small,recent,11,0.2530695078640284,15.436249999999998,9.20125,0.22292056383894043,0.3052233462990462
small,recent,12,-0.006809471001381379,12.762249999999998,12.937249999999999,0.22576623576803492,0.3361801498012972
small,recent,13,0.8606980273141124,15.327500000000002,1.1474999999999997,0.2224121677583202,0.35147973501177243
small,recent,14,-0.36647850629613543,7.295,15.735,0.21328995323442362,0.35546539459408094
small,recent,15,0.11532331940418383,11.109875,8.812375,0.23285467170900181,0.34231609617833403
small,recent,16,-0.19569986836331704,9.165000000000001,13.624999999999996,0.22515133183307537,0.3286682185117036
small,recent,17,0.2773972602739727,4.6625000000000005,2.6374999999999997,0.23507414544610164,0.39478920181981303
small,recent,18,0.4381342024362619,15.554499999999999,6.077,0.22104746182556823,0.2930886446193862
small,recent,19,0.41248097412480983,6.960000000000001,2.895,0.21748047637299203,0.35375702827402106
small,recent,20,0.12850987966126873,7.595999999999999,5.866,0.23419711181409944,0.320315573026756
small,recent,21,0.4000000000000001,2.45,1.0499999999999998,0.21410742479581454,0.3551397013289413
small,recent,22,-0.39609993906154783,2.4775,5.727499999999999,0.2139439878583105,0.3396618834572537
small,recent,23,-0.6125637230718631,2.945,12.257499999999999,0.21150408436529683,0.3302197487673735
small,recent,24,-0.33905651999238784,7.814500000000001,15.832,0.23043387637952928,0.34876004700247354
small,recent,25,0.07887203849199109,8.857000000000001,7.561999999999999,0.2177032890587918,0.3239340616284851
small,recent,26,-0.29380275890467367,8.575000000000001,15.710000000000003,0.25759949756907274,0.3680061958730154
small,recent,27,0.21372218079051672,7.730499999999997,5.008,0.22533617589448604,0.3528151072594468
small,recent,28,0.08294728124433841,10.460999999999997,8.858500000000001,0.19555921242584984,0.3354944622667572
small,recent,29,0.5210643015521066,18.865000000000002,5.9399999999999995,0.211388876996133,0.3195473523012774
small,intermediate,0,-0.09232769830949283,1.745,2.1,0.478635034966087,0.6492245813710145
small,intermediate,1,-0.9368421052631577,0.15,4.6,0.4740020429289949,0.6419905385335869
small,intermediate,2,-1.0,0.0,1.8300000000000003,0.5050375701586403,0.6629077588006687
small,intermediate,3,0.0,-0.9,-1.0,0.48173699749466964,0.6494936976038729
small,intermediate,4,0.0,-2.6,-1.9775,0.4829431186848508,0.6576360798596018
small,intermediate,5,-0.6390484003281377,0.55,2.4975,0.49723883872420804,0.6748531463197678
small,intermediate,6,0.440443213296399,3.9000000000000004,1.515,0.4542432487122477,0.6269951240731465
small,intermediate,7,0.0,-0.9,-0.33499999999999996,0.48129116806548977,0.6339589128493137
small,intermediate,8,0.0,3.0,3.0,0.4772768515510595,0.658493378518136
small,intermediate,9,0.5524475524475524,2.775,0.8,0.4833185682584608,0.6488126268715845
small,intermediate,10,0.5409836065573771,2.35,0.7,0.4881278243452103,0.6472232086570651
small,intermediate,11,-0.07537688442211056,2.3,2.675,0.44637360967591944,0.6380289243497553
small,intermediate,12,0.7627118644067797,2.34,0.315,0.4792101654026734,0.643917619146196
small,intermediate,13,0.0,0.375,-0.5,0.5154441614634074,0.6553847558119992
small,intermediate,14,0.0,-0.5,-1.1600000000000001,0.5069168544467298,0.6531057817255476
small,intermediate,15,-0.28571428571428575,1.5,2.7,0.4740532147038341,0.6664308487171438
small,intermediate,16,-0.07539118065433853,3.25,3.78,0.4502852629214925,0.6389035351326765
small,intermediate,17,-0.49630471859010783,2.2150000000000003,6.579999999999999,0.48032459934814975,0.677606306954435
small,intermediate,18,-0.24731182795698922,1.75,2.9,0.4806703241169736,0.6306992603655174
small,intermediate,19,0.3155416012558871,1.0475,0.5449999999999999,0.489030291281833,0.6561900609669199
small,intermediate,20,0.0714285714285715,1.5,1.2999999999999998,0.4982079441086048,0.6448012227470008
small,intermediate,21,0.9383191981495759,6.284999999999999,0.2,0.4817160399198571,0.6422345090365823
small,intermediate,22,0.43661971830985913,2.55,1.0,0.5223425322865396,0.6469580559629485
small,intermediate,23,0.16110581506196373,1.5225,1.1,0.533314101141602,0.6472207212574322
small,intermediate,24,-1.4786324786324785,-0.6999999999999998,3.625,0.49371708388223023,0.6279518226209623
small,intermediate,25,-0.23595505617977527,1.7,2.75,0.47790823617101114,0.6405276670886717
small,intermediate,26,0.8105263157894737,2.15,0.225,0.45829102214817,0.6490739244106001
small,intermediate,27,0.2773892773892773,1.37,0.7750000000000001,0.4679469095938741,0.6473412929991563
small,intermediate,28,0.2549019607843138,3.2,1.9,0.5117576728892876,0.6473955855006313
small,intermediate,29,-0.7851906158357772,0.7324999999999999,6.0875,0.48795360921369824,0.6682050064117433
small,ancient,0,0.17890097782674572,32.10000000000001,22.3575,0.7853634876390418,0.8779929073363227
small,ancient,1,0.13963797561876615,30.849999999999998,23.29,0.7878175914335556,0.8829552251577525
small,ancient,2,0.09655541674103152,30.720000000000002,25.310000000000006,0.7787109668654552,0.8746258007201081
