rep,divergence,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
0,shallow,recent,none,0.017964048105571843,705.7842499999997,680.8742499999996,0.20366204593867876,0.20250873565102565
1,shallow,recent,none,0.00022668430800204284,645.3166249999995,645.0241249999989,0.20233000208326193,0.19860630749117528
2,shallow,recent,none,0.0006751359550380278,670.6878750000011,669.7828749999993,0.20175312925259895,0.1957494945500545
3,shallow,recent,none,0.0007655652758581425,684.6587500000002,683.6112500000017,0.1990436290170177,0.1928936228099862
4,shallow,recent,none,-0.017553376953925236,646.3031249999989,669.3981249999995,0.197710637291846,0.19278999757321616
5,shallow,recent,none,0.02606233847628739,692.5102499999998,657.3302499999988,0.2088828401193256,0.20223994883186797
6,shallow,recent,none,-0.02760559947885638,648.395625,685.2106249999996,0.20320799773854223,0.20550579338467992
7,shallow,recent,none,-0.00527417225853844,653.2743750000003,660.2018749999994,0.2027614183960441,0.205755689824008
8,shallow,recent,none,0.04712502633429842,697.7126249999988,634.9126249999979,0.2048976397838541,0.20314068892221052
9,shallow,recent,none,0.05636280256305227,669.1667499999985,597.759250000001,0.195537099480786,0.19422420895034317
0,shallow,recent,low,-0.012850236970903036,716.6306250000005,735.2881249999978,0.2057146616997469,0.20247697307156318
1,shallow,recent,low,-0.051973186770526966,589.7671249999996,654.4321249999991,0.20107560433590613,0.2017708203963342
2,shallow,recent,low,-0.0022129862944857987,640.2468749999973,643.0868749999984,0.20062654739363947,0.19762159830994955
3,shallow,recent,low,-0.09344408158264497,575.2798749999988,693.8748750000001,0.19798264259862783,0.2069008188368223
4,shallow,recent,low,0.036633435492132826,712.2118750000006,661.874374999999,0.19947819910381084,0.19551806149371107
5,shallow,recent,low,0.05746392707374581,716.4675000000002,638.5999999999973,0.20146657876318622,0.20244032599726472
6,shallow,recent,low,0.01771839964155931,687.1081249999994,663.1831249999988,0.20168753936373182,0.20695040679426543
7,shallow,recent,low,0.01831710766606125,670.5998749999998,646.4748749999991,0.1966294688609788,0.20370992193582732
8,shallow,recent,low,0.08151099765715934,734.9633749999966,624.1783749999995,0.20346993168850788,0.20097830154979235
9,shallow,recent,low,0.02651888419337123,650.0204999999999,616.4354999999997,0.20132080537798616,0.19702019527761752
0,shallow,recent,moderate,0.021672688621249547,724.2628749999999,693.5353749999974,0.2012486970105646,0.20037012275523472
1,shallow,recent,moderate,0.02504327281033812,670.294374999998,637.5418749999985,0.19823366480438517,0.19836078592302714
2,shallow,recent,moderate,0.004877747676157583,645.0771249999996,638.8146249999992,0.20549730347909292,0.20388022303214315
3,shallow,recent,moderate,-0.0029878440741788357,666.5447499999988,670.5397500000001,0.20045242265063903,0.1981994071189199
4,shallow,recent,moderate,0.03457238840578974,658.3833750000005,614.3808749999969,0.20022624819314028,0.20416750454865543
5,shallow,recent,moderate,0.07037302799056148,735.4029999999981,638.7029999999997,0.20148645214379668,0.20232923030667432
6,shallow,recent,moderate,0.01828489016024961,692.9919999999995,668.1044999999993,0.20119206261506137,0.19483292503752067
7,shallow,recent,moderate,-0.0013270824347875593,684.804749999999,686.6247499999985,0.18958484683665203,0.19434113951430834
8,shallow,recent,moderate,-0.013664074189203559,671.4973750000003,690.1023750000013,0.20954009955536704,0.206160031091065
9,shallow,recent,moderate,-0.005289353368689718,632.818625000001,639.548624999999,0.19411398981902558,0.19467906006272967
0,shallow,recent,high,0.013096082118863392,701.2567500000006,683.126750000001,0.2051104295580051,0.19787527133869606
1,shallow,recent,high,-0.003038730492551594,668.8828750000002,672.9603749999998,0.19942672591267213,0.1944366582030777
2,shallow,recent,high,0.0024306617663831164,686.1481249999979,682.8206249999996,0.19156734407752016,0.19134314016465406
3,shallow,recent,high,-0.0290901722436552,649.2441249999986,688.1491250000004,0.19699014157734718,0.19743738261312735
4,shallow,recent,high,-0.03311890870528334,670.5914999999999,716.5314999999986,0.18770277829707335,0.19242658670354357
5,shallow,recent,high,0.07469418357236113,740.8881250000031,637.9006249999968,0.1952482250975222,0.19477521665711797
6,shallow,recent,high,0.030760466894439037,702.5216249999962,660.5916250000001,0.19905143465616193,0.1962218915548377
7,shallow,recent,high,-0.0055380140331737085,632.3113749999989,639.3538749999982,0.18968717874194668,0.20039340368725092
8,shallow,recent,high,0.01897878631062692,729.7868749999968,702.6018750000009,0.19955382271147024,0.19798467598595149
9,shallow,recent,high,0.06222248979120744,696.9382500000013,615.2882499999994,0.20347978959798965,0.19503564415107172
0,shallow,recent,very_high,0.1133333610076798,804.5960000000022,640.7859999999997,0.17715446008651772,0.17572424813664664
1,shallow,recent,very_high,0.179442450756775,837.6316249999978,582.7541249999986,0.16754081154014103,0.17048894470630754
2,shallow,recent,very_high,0.17686497001786294,878.4152500000005,614.3902499999996,0.18381262601636827,0.1689463216196258
3,shallow,recent,very_high,0.09865678854202448,765.0534999999991,627.6535000000017,0.18153002964227752,0.17646794616034253
4,shallow,recent,very_high,0.18000490075083475,822.8671250000003,571.8171249999982,0.17509439748158975,0.171710352558389
5,shallow,recent,very_high,0.13538537941715822,809.3219999999993,616.3119999999986,0.17319794518458606,0.17369675759990025
6,shallow,recent,very_high,0.1584573189222071,835.2003749999988,606.7178749999985,0.177711652914249,0.17266695351749953
7,shallow,recent,very_high,0.1313252845290561,858.2482500000018,658.9957499999986,0.17266348799790526,0.1640772979575345
8,shallow,recent,very_high,0.1267746497445423,807.5092499999987,625.8017499999993,0.1752288430629108,0.16517646098425615
9,shallow,recent,very_high,0.13874218912749472,816.534375000002,617.5643749999982,0.18279949508712756,0.17945330433558368
