rep,Ne,divergence,mig_time,mig_rate,mig_model,mig_direction,D,ABBA,BABA,FST_AB,FST_BC
9,100000,shallow,recent,low,episodic,C_to_B,-0.001315329591121904,401.4617499999992,402.519249999999,0.13294233786471793,0.1977911253367498
0,100000,shallow,recent,low,episodic,symmetric,0.04298204269267545,412.6960000000006,378.6809999999992,0.13368419119439104,0.19814827509372884
1,100000,shallow,recent,low,episodic,symmetric,-0.04134203096776332,329.24712499999845,357.6446249999995,0.13027452850913868,0.2008130841838842
2,100000,shallow,recent,low,episodic,symmetric,-0.04915641263117372,385.12362499999944,424.94362499999954,0.14049229120727627,0.19961565412351767
3,100000,shallow,recent,low,episodic,symmetric,0.012691962713089528,392.76637500000015,382.92137499999984,0.1328259340339497,0.200386791462565
4,100000,shallow,recent,low,episodic,symmetric,-0.057379662097545796,368.5161249999994,413.38112499999966,0.13448711032391436,0.20770698675854424
5,100000,shallow,recent,low,episodic,symmetric,-0.040743421011269425,362.3691249999999,393.1516249999999,0.13453774596852108,0.20032953335070136
6,100000,shallow,recent,low,episodic,symmetric,-0.0992411399194073,371.7947499999999,453.7197499999994,0.13739442375295746,0.20938067666193286
7,100000,shallow,recent,low,episodic,symmetric,-0.028568498833208365,390.7862500000006,413.77124999999967,0.1324269824249752,0.20595972696371387
8,100000,shallow,recent,low,episodic,symmetric,0.01002069289519981,422.45074999999997,414.0682500000003,0.13554508217983327,0.2020637539821055
9,100000,shallow,recent,low,episodic,symmetric,-0.012607891331798123,380.0254999999998,389.7304999999994,0.13722439931561844,0.19901055222715325
0,100000,shallow,recent,low,continuous,C_to_B,0.056300466908537045,471.8368749999962,421.5393749999986,0.12981751450984286,0.17653985358213872
1,100000,shallow,recent,low,continuous,C_to_B,0.03650810786727888,453.6554999999976,421.69799999999765,0.13522705669434026,0.1751326792156114
2,100000,shallow,recent,low,continuous,C_to_B,0.0596482020768416,433.5983749999976,384.78337499999856,0.13031480872559958,0.17208094978550692
3,100000,shallow,recent,low,continuous,C_to_B,0.07552687070030362,444.95662499999673,382.46412499999883,0.13230199835243464,0.18616994671421846
4,100000,shallow,recent,low,continuous,C_to_B,0.0662410787168425,498.64549999999724,436.68799999999777,0.12896926263236216,0.16675165547888438
5,100000,shallow,recent,low,continuous,C_to_B,0.15359782176456493,533.4151249999975,391.37012499999935,0.13503351121405105,0.17678212483878677
6,100000,shallow,recent,low,continuous,C_to_B,0.05020125007662305,468.97012499999477,424.1351250000001,0.13276704976183637,0.1839456191681991
7,100000,shallow,recent,low,continuous,C_to_B,0.07836880980114931,481.8642499999984,411.8267499999996,0.13437150476267606,0.18982358860699072
8,100000,shallow,recent,low,continuous,C_to_B,0.04682217259653889,471.51762499999717,429.33762499999915,0.13628196382293806,0.18111254196533932
9,100000,shallow,recent,low,continuous,C_to_B,-0.009030451340574551,428.7951249999971,436.6101249999998,0.1359207480422289,0.1809340378745456
0,100000,shallow,recent,low,continuous,symmetric,0.10303558869674684,488.35287499999913,397.11787499999934,0.12562324867308258,0.18527239985266036
1,100000,shallow,recent,low,continuous,symmetric,0.18103306113224948,580.1009999999973,402.26099999999906,0.12437899352203517,0.1709101292815812
2,100000,shallow,recent,low,continuous,symmetric,0.1595332267693548,579.327874999995,419.91537499999885,0.129112555066581,0.17239579358831558
3,100000,shallow,recent,low,continuous,symmetric,0.20059011226987616,618.2879999999952,411.6854999999991,0.12928620394185272,0.17882289181440744
4,100000,shallow,recent,low,continuous,symmetric,0.14795526819984353,516.2511249999975,383.1761250000001,0.12958578411641722,0.1814200047870408
5,100000,shallow,recent,low,continuous,symmetric,0.17568370979842476,617.2326249999995,432.7651250000006,0.13295511398825882,0.17737158838195477
6,100000,shallow,recent,low,continuous,symmetric,0.19708645637975633,582.0481249999998,390.39312499999926,0.12659533274648696,0.17594372322945812
7,100000,shallow,recent,low,continuous,symmetric,0.19741471371456357,559.6541249999962,375.1166249999992,0.12383578164871742,0.17408722701233323
8,100000,shallow,recent,low,continuous,symmetric,0.13765031846074943,564.4744999999994,427.8769999999974,0.12804799825497595,0.17376952831600553
9,100000,shallow,recent,low,continuous,symmetric,0.17616292082338197,541.2689999999969,379.1289999999986,0.12615602280639227,0.17891094087259216
0,100000,shallow,recent,moderate,episodic,C_to_B,0.017463392942223117,400.40999999999934,386.6649999999991,0.1364104522963526,0.20157113901990806
1,100000,shallow,recent,moderate,episodic,C_to_B,0.08695759376435104,440.83874999999983,370.30374999999975,0.1348911454518961,0.1999446534595702
2,100000,shallow,recent,moderate,episodic,C_to_B,0.0009620055283659922,395.3881249999984,394.62812499999944,0.1295191044121923,0.2066802820255487
3,100000,shallow,recent,moderate,episodic,C_to_B,-0.0017708512285803297,400.93174999999906,402.35425000000043,0.1347143520883766,0.1974172093481913
4,100000,shallow,recent,moderate,episodic,C_to_B,0.022593779121136123,423.57674999999756,404.8592500000001,0.13192892128894235,0.20097767168440708
5,100000,shallow,recent,moderate,episodic,C_to_B,0.03732157829717374,418.1629999999998,388.07299999999964,0.1306616578891361,0.20025904850189097
6,100000,shallow,recent,moderate,episodic,C_to_B,-0.010837648713559122,381.1702499999995,389.5227499999985,0.13419707174617213,0.19579795479695686
7,100000,shallow,recent,moderate,episodic,C_to_B,0.019783459119100757,384.6071249999997,369.68462499999976,0.12650300615405602,0.19768137866686006
8,100000,shallow,recent,moderate,episodic,C_to_B,0.033865691745239256,402.975000000001,376.5749999999997,0.12909589101996854,0.20227122156718852
9,100000,shallow,recent,moderate,episodic,C_to_B,-0.023964016193207354,393.9535000000001,413.2984999999991,0.13508365765162886,0.20550515174729245
0,100000,shallow,recent,moderate,episodic,symmetric,0.03215423536554451,432.66925,405.7117499999994,0.130537189773289,0.19870109554029916
1,100000,shallow,recent,moderate,episodic,symmetric,-0.015359867341767464,416.8409999999992,429.84599999999824,0.13263642896269637,0.19710512433031788
2,100000,shallow,recent,moderate,episodic,symmetric,-0.01161824362464985,406.0038749999989,415.54887499999995,0.13368039213027072,0.19895124249626248
3,100000,shallow,recent,moderate,episodic,symmetric,0.007680627778092162,397.69299999999924,391.63049999999834,0.13635292064685045,0.19623685921789524
4,100000,shallow,recent,moderate,episodic,symmetric,0.026800166111327236,392.51874999999984,372.0287499999999,0.1323606922741339,0.1975340378473122
5,100000,shallow,recent,moderate,episodic,symmetric,-0.04471446147192341,373.2847499999996,408.229749999999,0.13653081036160858,0.19558655015155196
6,100000,shallow,recent,moderate,episodic,symmetric,0.036822657958558644,417.6767499999996,388.0092500000003,0.13185356487778044,0.20399422088636726
7,100000,shallow,recent,moderate,episodic,symmetric,0.0005336988102783354,410.0941249999994,409.6566249999996,0.13250493949232559,0.20114082835665026
8,100000,shallow,recent,moderate,episodic,symmetric,0.012814360223142005,447.94474999999926,436.60974999999803,0.13807431477790907,0.21054222289367053
9,100000,shallow,recent,moderate,episodic,symmetric,0.01991222101695643,410.5316249999989,394.50162500000016,0.1365390564272764,0.20021208130339577
0,100000,shallow,recent,moderate,continuous,C_to_B,0.5175861470651721,1308.670875000027,416.00337499999836,0.13142115347629366,0.037673421842003285
1,100000,shallow,recent,moderate,continuous,C_to_B,0.5039870921477286,1310.8187500000208,432.3062500000005,0.13139286866250674,0.03769259683961217
2,100000,shallow,recent,moderate,continuous,C_to_B,0.5236794280255133,1272.7020000000243,397.86199999999866,0.13504131528822527,0.03437820570611253
3,100000,shallow,recent,moderate,continuous,C_to_B,0.522375005592733,1365.285125000034,428.3401249999995,0.13696442757808472,0.033272432332891254
4,100000,shallow,recent,moderate,continuous,C_to_B,0.5148897064785528,1342.8696250000246,430.02462499999865,0.13894242444942784,0.03555017216172314
5,100000,shallow,recent,moderate,continuous,C_to_B,0.5564929772198458,1316.4418750000216,375.1068750000005,0.13056546439692032,0.03368313137393604
6,100000,shallow,recent,moderate,continuous,C_to_B,0.49969607827400714,1237.938000000012,412.98049999999967,0.1281563638695816,0.03447790720570235
7,100000,shallow,recent,moderate,continuous,C_to_B,0.5392920463503351,1358.8348750000248,406.69737499999997,0.1391289798469524,0.03676479535741117
8,100000,shallow,recent,moderate,continuous,C_to_B,0.5182495074837641,1288.2538750000251,408.77137500000026,0.12826691528794462,0.035705376414680426
9,100000,shallow,recent,moderate,continuous,C_to_B,0.5340036846354224,1285.7138750000215,390.571375,0.1316778004081105,0.03661792845098679
0,100000,shallow,recent,moderate,continuous,symmetric,0.78213119526877,2128.6572500000707,260.2322500000007,0.18525944778066805,0.035569331760828965
1,100000,shallow,recent,moderate,continuous,symmetric,0.7970371013194942,2236.4263750000778,252.58887499999977,0.19811685213064087,0.037617259348110055
2,100000,shallow,recent,moderate,continuous,symmetric,0.7876670663546205,2125.0711250000804,252.40862500000028,0.18753627382719426,0.03286349832135438
3,100000,shallow,recent,moderate,continuous,symmetric,0.7783544150674209,2098.5822500000672,261.55724999999984,0.18285372514310363,0.03504095994839997
4,100000,shallow,recent,moderate,continuous,symmetric,0.7973285044738018,2109.1650000000623,237.83499999999987,0.18466215843689604,0.03753856550010261
5,100000,shallow,recent,moderate,continuous,symmetric,0.8054748014097285,2224.8213750000778,239.70637500000007,0.18860941331079448,0.03514916776600084
6,100000,shallow,recent,moderate,continuous,symmetric,0.7731785368217365,2074.9023750000574,265.41737500000033,0.18457981302057772,0.036422192108279704
7,100000,shallow,recent,moderate,continuous,symmetric,0.8060034967663705,2159.007875000072,231.91537499999944,0.1850804926252126,0.03804122448652023
8,100000,shallow,recent,moderate,continuous,symmetric,0.8179459253004776,2120.4696250000875,212.34962499999986,0.18789817572509207,0.03221091854487828
9,100000,shallow,recent,moderate,continuous,symmetric,0.7960899468408313,2150.501375000075,244.14637499999938,0.18620934744409987,0.03392785088648324
0,100000,shallow,recent,high,episodic,C_to_B,0.009529409964684248,437.1278749999981,428.87537499999917,0.13258915658600154,0.20022392201790082
1,100000,shallow,recent,high,episodic,C_to_B,0.06362661995601794,436.89074999999707,384.6207499999991,0.12887466693351088,0.187715618062023
2,100000,shallow,recent,high,episodic,C_to_B,0.014657011211341294,439.2436249999973,426.5536249999989,0.13432341149371954,0.18992301930013616
3,100000,shallow,recent,high,episodic,C_to_B,0.06206728165854487,439.3390000000001,387.9889999999995,0.12788543550837453,0.20103311983575733
4,100000,shallow,recent,high,episodic,C_to_B,-0.03482186739355767,372.14324999999855,398.99574999999913,0.13561452591391368,0.20585529371186992
5,100000,shallow,recent,high,episodic,C_to_B,0.08524711886218075,423.13337499999705,356.6583749999994,0.12581950446162304,0.18413033155748865
6,100000,shallow,recent,high,episodic,C_to_B,-0.008786562648845243,398.78387499999786,405.8538749999987,0.13254440657715796,0.19713127709012063
7,100000,shallow,recent,high,episodic,C_to_B,-0.0036538309595268333,386.1906249999991,389.023125,0.12974884276802184,0.20007017302007007
8,100000,shallow,recent,high,episodic,C_to_B,0.012296502226144746,426.8496249999981,416.47962500000017,0.12941814275502694,0.20265525078418112
9,100000,shallow,recent,high,episodic,C_to_B,0.04090404309823797,426.59487499999886,393.0673750000002,0.12508092264631412,0.19417534571818065
0,100000,shallow,recent,high,episodic,symmetric,-0.03265210120601614,397.9128749999988,424.77537499999903,0.1349235389247755,0.20150956967288608
1,100000,shallow,recent,high,episodic,symmetric,0.08397572597275609,431.553499999999,364.68849999999986,0.1337482532840582,0.1986590254972419
2,100000,shallow,recent,high,episodic,symmetric,-0.006381081858273862,421.9828749999982,427.40287499999954,0.13310585688004295,0.1944851373895663
3,100000,shallow,recent,high,episodic,symmetric,0.06583458099542384,437.98899999999895,383.88149999999956,0.13508719500722796,0.18415908217241314
4,100000,shallow,recent,high,episodic,symmetric,-0.037481341176062985,407.9258749999972,439.6958749999986,0.1327457160197156,0.19186613693724666
5,100000,shallow,recent,high,episodic,symmetric,0.016671452334742622,410.71899999999783,397.24900000000054,0.13490892145577432,0.2021968790581936
6,100000,shallow,recent,high,episodic,symmetric,0.02712408849304013,411.5261249999987,389.79112499999917,0.13327606801530073,0.18854311618188416
7,100000,shallow,recent,high,episodic,symmetric,-0.02786931606757531,408.2037499999988,431.60874999999936,0.14128169797698925,0.20657858678998878
8,100000,shallow,recent,high,episodic,symmetric,0.08835049103174894,397.8123749999983,333.22487499999914,0.13344559119080548,0.19098638696432893
