rep,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
0,recent,none,-0.03143824115453861,788.0787499999994,839.2387500000003,0.4430241883021934,0.44051934933548864
1,recent,none,0.05721889424632937,814.1777499999987,726.047749999999,0.43957295182160416,0.4458369938374998
2,recent,none,0.02157718324919024,797.7674999999991,764.0675000000001,0.44134243391980177,0.44183185018545595
3,recent,none,0.005873836036062031,800.1492499999987,790.8042499999997,0.4328793120800719,0.4324410569375011
4,recent,none,0.01595182923049795,852.3145000000001,825.5494999999999,0.442520156453614,0.43424124011272724
5,recent,none,-0.01768113872635946,828.9864999999998,858.8289999999995,0.4482011056030096,0.44685079616071904
6,recent,none,-0.060028683966607675,766.1607499999997,864.0182500000002,0.44003038315354315,0.44219029516831754
7,recent,none,-0.0027373135461338342,821.0899999999997,825.597499999999,0.4476965123649971,0.4465453726963994
8,recent,none,0.03378497443644232,850.6510000000003,795.0509999999983,0.4523759168111541,0.4489165148200347
9,recent,none,-0.007504898680714189,786.8655000000003,798.7654999999999,0.4414151237629037,0.4349869847833929
10,recent,none,-0.010911439162208884,801.4322499999998,819.11475,0.4431554541578052,0.44601859483801176
11,recent,none,0.024768335678851654,780.0575000000006,742.3499999999992,0.4430603467537723,0.4406399862920236
12,recent,none,0.003659126314678495,796.4674999999996,790.6599999999997,0.44196567629139066,0.4473724584901993
13,recent,none,-0.016978612721225094,796.0199999999994,823.5175000000005,0.4427618455170737,0.4450733235047907
14,recent,none,0.05295663613625384,792.1784999999996,712.496,0.4495429911997668,0.4374487061712637
15,recent,none,-0.03830949087464558,751.0247499999999,810.8597500000003,0.4453900788176834,0.4421430284087819
16,recent,none,0.009034460542733895,817.5509999999994,802.9109999999997,0.4385831693538543,0.4397770028884706
17,recent,none,-0.03175161427216651,809.39925,862.4842499999997,0.44136948100574985,0.44686157879241545
18,recent,none,-0.005753108381748957,788.0549999999994,797.1749999999993,0.43914290970350445,0.4420955175866663
19,recent,none,0.02664418251547239,886.275999999998,840.2735000000005,0.4409787866637313,0.4372603698810606
20,recent,none,-0.0057214126329806015,782.4535000000005,791.4585000000003,0.44841420971283347,0.4383090089310346
21,recent,none,-0.021341008044089213,719.112999999999,750.4755,0.44653591380447977,0.440122745799288
22,recent,none,-0.02828738026314504,781.5385000000001,827.0409999999998,0.44979978910354446,0.4521393486526192
23,recent,none,0.03609520082910257,738.4236249999999,686.9736249999994,0.4392856005197884,0.43339052756329377
24,recent,none,-0.0437260221941982,825.7990000000001,901.3189999999993,0.44709520574799194,0.45012437330128124
25,recent,none,0.03090565777307133,787.964749999999,740.7197500000003,0.43658288785913707,0.44162007706790823
26,recent,none,0.02345119091694393,829.3024999999992,791.2974999999999,0.4482210151013746,0.4395339751600987
27,recent,none,-0.026938907898019678,777.0084999999996,820.0309999999989,0.4363959315891442,0.44041471826432277
28,recent,none,0.0690721088504645,839.89325,731.3632500000001,0.4517705720090841,0.43971835188622016
29,recent,none,-0.017215951381588306,800.4837500000001,828.5287499999997,0.45281310708339617,0.45032297374234675
30,recent,none,-0.08913987113302757,667.3459999999995,797.9635000000006,0.4411555653890871,0.44502060775937213
31,recent,none,0.0650726268608586,798.4448749999996,700.8798749999995,0.444160319340045,0.4414080282798861
32,recent,none,0.057527161327976147,798.6304999999995,711.7429999999996,0.44303800088513395,0.4401659426559855
33,recent,none,0.055372269282211756,813.7249999999998,728.3374999999992,0.44675461471698225,0.44308188550200134
34,recent,none,0.006442198704650602,764.72875,754.9387500000004,0.43648666121787616,0.44827229112566885
35,recent,none,0.063080191900075,881.4033749999998,776.8033750000001,0.4390182777516097,0.43852738714212847
36,recent,none,0.011956660423906277,838.7367499999992,818.9167499999995,0.43915942976215155,0.44587389982053327
37,recent,none,0.06994725905325679,824.8629999999995,717.0130000000001,0.4370441064565148,0.4391754470742779
38,recent,none,-0.06526742936500282,746.1005000000004,850.293,0.4406318904882197,0.4476505874130258
39,recent,none,0.03431656301665961,857.2319999999993,800.3495000000001,0.4513659961264378,0.4451182294357703
