GenomicPosition,D,FST_BC,Mig_rate,Mig_time
5000.0,-0.0356959522410563,0.3483316174113194,0.05,10000
15000.0,0.04395248338102024,0.32566900023485096,0.05,10000
25000.0,-0.04308635499494838,0.27822632397103,0.05,10000
35000.0,-0.027199751372989613,0.29447473146780623,0.05,10000
45000.0,0.05628087642906496,0.35424132084671833,0.05,10000
55000.0,-0.029027429052088223,0.24002350036354683,0.05,10000
65000.0,-0.03327187167905792,0.2771997775904362,0.05,10000
75000.0,0.004366349165222086,0.3640739958261508,0.05,10000
85000.0,-0.0351192997552744,0.3253726388237291,0.05,10000
95000.0,-0.022401031328328016,0.30654102294044966,0.05,10000
105000.0,0.06398934736387887,0.39377190247776606,0.05,10000
115000.0,0.04225615889407244,0.32697115386515635,0.05,10000
125000.0,0.0846549636435804,0.302147537260088,0.05,10000
135000.0,0.03518126027815658,0.3552229048559719,0.05,10000
145000.0,0.02101100853613493,0.25555605063266235,0.05,10000
155000.0,-0.009319727871619131,0.30423870113398005,0.05,10000
165000.0,-0.014986583294636839,0.2706200058675207,0.05,10000
175000.0,-0.041085125504266386,0.2965125206651607,0.05,10000
185000.0,-0.033274311042896874,0.28225235294280787,0.05,10000
195000.0,-0.045200429933887454,0.32035306708668243,0.05,10000
205000.0,-0.02431048789290269,0.2609330504925067,0.05,10000
215000.0,-0.02050911540478582,0.30892280343960243,0.05,10000
225000.0,-0.01362253562948613,0.2718086883527573,0.05,10000
235000.0,0.04138212868656083,0.2621908010272569,0.05,10000
245000.0,-0.012962330581402072,0.3092985663861432,0.05,10000
255000.0,0.0320354114421487,0.28653112616523635,0.05,10000
265000.0,-0.006255743568360212,0.3252787080824862,0.05,10000
275000.0,-0.06520586672677901,0.33914126119195304,0.05,10000
285000.0,-0.08472155603599231,0.3144242497349089,0.05,10000
295000.0,-0.05463800227266494,0.33825137472099637,0.05,10000
305000.0,-0.051155507255934374,0.32739903627087413,0.05,10000
315000.0,-0.08001338834498489,0.28922435089505244,0.05,10000
325000.0,-0.02081407587648137,0.2554920587513041,0.05,10000
335000.0,-0.0326867059435992,0.3155404304770407,0.05,10000
345000.0,0.02749011539593113,0.3173377625860866,0.05,10000
355000.0,-0.035859500076514166,0.330374080099585,0.05,10000
365000.0,-0.021270205857431876,0.24651648461767706,0.05,10000
375000.0,-0.08406933140666602,0.27082213815976897,0.05,10000
385000.0,-0.11948054676669217,0.3294617163194949,0.05,10000
395000.0,0.04726926741057083,0.3218162930043535,0.05,10000
405000.0,0.04342777582002991,0.3175721713513934,0.05,10000
415000.0,0.008146557925861287,0.304003059354181,0.05,10000
425000.0,-0.060658421686598886,0.26358899672901526,0.05,10000
435000.0,0.01861864304293016,0.34015174700033735,0.05,10000
445000.0,-0.0370850560531114,0.3271537133232665,0.05,10000
455000.0,-0.038273093171701356,0.26623787704799157,0.05,10000
465000.0,0.02648898693970483,0.31290821987274386,0.05,10000
475000.0,0.04642634116389087,0.2676162665853776,0.05,10000
485000.0,-0.05639706304117134,0.3217758552165825,0.05,10000
495000.0,0.013985077232607144,0.2612174893268949,0.05,10000
505000.0,0.018308720869876553,0.3384105316004249,0.05,10000
515000.0,-0.11284784327082203,0.32551323587679415,0.05,10000
525000.0,-0.09433158496282394,0.3075972439960359,0.05,10000
535000.0,-0.05704142310992114,0.269068531202513,0.05,10000
545000.0,-0.03203149883437072,0.2443157728127429,0.05,10000
555000.0,0.007029319829593695,0.3031851997127724,0.05,10000
565000.0,0.011718375315069534,0.3027957357942751,0.05,10000
575000.0,0.03925321241314492,0.3129144819177022,0.05,10000
585000.0,0.1436116537476316,0.3052097290704217,0.05,10000
595000.0,0.038914090120845395,0.33845801327379416,0.05,10000
605000.0,0.03025069112974127,0.2932351817476303,0.05,10000
615000.0,0.03183290358148565,0.26598938634502756,0.05,10000
625000.0,0.0254252015270865,0.32372437022480366,0.05,10000
635000.0,0.09804506100045714,0.26583044787322824,0.05,10000
645000.0,-0.03494021370091072,0.25712397807908666,0.05,10000
